"Species_name","User_Tree_id","flon_week","flon_week_sd","n.fl","spname"
"Artocarpus heterophyllus",7059,120.288461538462,58.5033648814442,8,"jackfruit"
"Artocarpus heterophyllus",7068,121.153846153846,62.1426385281956,8,"jackfruit"
"Artocarpus heterophyllus",7092,221.538461538462,NA,1,"jackfruit"
"Artocarpus heterophyllus",7142,88.021978021978,35.6867180162678,7,"jackfruit"
"Artocarpus heterophyllus",7146,104.835164835165,23.452979883735,7,"jackfruit"
"Artocarpus heterophyllus",7152,83.0769230769231,NA,1,"jackfruit"
"Artocarpus heterophyllus",7175,91.978021978022,40.3115508596908,7,"jackfruit"
"Artocarpus heterophyllus",7190,169.615384615385,14.6860639169514,2,"jackfruit"
"Artocarpus heterophyllus",7195,173.076923076923,9.7907092779676,2,"jackfruit"
"Artocarpus heterophyllus",7203,20.7692307692308,NA,1,"jackfruit"
"Artocarpus heterophyllus",7206,27.6923076923077,NA,1,"jackfruit"
"Artocarpus heterophyllus",7207,6.92307692307693,NA,1,"jackfruit"
"Artocarpus heterophyllus",7280,13.8461538461538,NA,1,"jackfruit"
"Artocarpus heterophyllus",7353,41.5384615384615,NA,1,"jackfruit"
"Artocarpus heterophyllus",7354,131.538461538462,NA,1,"jackfruit"
"Artocarpus heterophyllus",7399,110.769230769231,NA,1,"jackfruit"
"Artocarpus heterophyllus",7516,138.461538461538,NA,1,"jackfruit"
"Artocarpus heterophyllus",7544,76.1538461538461,NA,1,"jackfruit"
"Artocarpus heterophyllus",7560,83.0769230769231,NA,1,"jackfruit"
"Artocarpus heterophyllus",7603,104.835164835165,24.4534508711904,7,"jackfruit"
"Artocarpus heterophyllus",7604,87.032967032967,39.9418427597314,7,"jackfruit"
"Artocarpus heterophyllus",7626,76.1538461538461,NA,1,"jackfruit"
"Artocarpus heterophyllus",7636,117.692307692308,108.804694468858,3,"jackfruit"
"Artocarpus heterophyllus",7637,96.9230769230769,137.069929891546,2,"jackfruit"
"Artocarpus heterophyllus",7639,120,103.923048454133,3,"jackfruit"
"Artocarpus heterophyllus",7651,228.461538461538,NA,1,"jackfruit"
"Artocarpus heterophyllus",7657,62.3076923076923,NA,1,"jackfruit"
"Artocarpus heterophyllus",7660,20.7692307692308,NA,1,"jackfruit"
"Artocarpus heterophyllus",7666,90,NA,1,"jackfruit"
"Artocarpus heterophyllus",7672,166.153846153846,NA,1,"jackfruit"
"Artocarpus heterophyllus",7682,249.230769230769,NA,1,"jackfruit"
"Artocarpus heterophyllus",7691,83.0769230769231,NA,1,"jackfruit"
"Artocarpus heterophyllus",7724,83.0769230769231,NA,1,"jackfruit"
"Artocarpus heterophyllus",7727,145.384615384615,NA,1,"jackfruit"
